Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
sql,main,a003e8c7399b62ebc3a57c07bb98f11d843ceb82,2.19-dev,d20b4dbbda99da816b27c065a29158ea3c2d243f,2025-11-04 05:45:08+00:00,TYPE-II
sql,main,d1ffabd500e11730b982d53a29342e8953026724,2.19-dev,ba5d3b1b9d5dc56ff337426d36af865c7d805fa4,2025-11-01 01:37:05+00:00,TYPE-V
sql,main,42c13b40f2d3e8d7938e1ca95d9cc4fc74fbba5d,2.19-dev,ec5d429b881b3de8722bc0cb793d03cef1d4bbd6,2025-10-29 09:11:19+00:00,TYPE-V
sql,main,0257aa5d51f044f3287bbaffc83aa72f8960c57c,2.19-dev,e7caf5909820b732b09a2576963945ec86eb29ef,2025-10-20 08:11:37+00:00,TYPE-V
sql,main,a8f08ad3e101e05aefecca4765d484d1992a12b3,2.19-dev,104f7f0ec0c80f9e5af1dac3c2806b965eadb906,2025-10-17 00:06:39+00:00,TYPE-II
sql,main,5630119fd143915653de74b02f96d6d524909bbf,2.19-dev,480d0bee45121c6564705dacfb06c2ef15686f1d,2025-10-16 02:31:42+00:00,TYPE-II
sql,main,284ecc49f2a1a1428658a75d5ae4dc608476133b,2.19-dev,0591243c5ff276dd2bbd2b71c57b676e2b697ca3,2025-08-26 09:29:09+00:00,TYPE-V
sql,main,fce8383d56444092eed01b01b889fc6e4be4e810,2.19-dev,f10ffd50a08f0b167b4d684798456bf7d0b419d9,2025-08-22 03:37:30+00:00,TYPE-II
sql,main,9939fc98b6634296732db52462221b17d145a7c2,2.19-dev,4bd23cfafcc13d92a798489658cd6319f4dc776e,2025-07-31 18:11:19+00:00,TYPE-III
sql,main,0b4423e9f3b50670af922a8608116d7182fd728f,2.19-dev,c2a2844f6a4baa54d89482fd725ca83e4e40202a,2025-07-21 18:42:18+00:00,TYPE-V
sql,main,6c3efa1475f815fc9025a2e3c533b7b21d9ea8cf,2.19-dev,fe5eb74fccc74ccf20bfd3507eb13ac8fa28c632,2025-07-15 06:36:07+00:00,TYPE-V
sql,main,774a3a234e244c987ad967913a5027655c14ca8a,2.19-dev,52e5b9680551c1d09a17260b5283ed4bc8eba92f,2025-07-08 15:22:49+00:00,TYPE-III
sql,main,69b9e82b35a8d2b856ec7c6ae7dd2487a8c16a3a,3.0,8647ec0f6e263fc607e2c9ed1965fcd4bbf9c3a9,2025-04-25 15:14:37+00:00,TYPE-V
